,Time / Date,Active Time/Date,Area,Description,Device
7841,2023-09-02 오전 5:59,2023-09-02 오전 5:59,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
7879,2023-09-02 오전 5:53,2023-09-02 오전 5:52,LP01,[Sensor]Light grid activated  OK ,LP01
7882,2023-09-02 오전 5:52,2023-09-02 오전 5:52,LP01,[Sensor]Light grid activated Digital Alarm,LP01
7884,2023-09-02 오전 5:52,2023-09-02 오전 5:52,LP01,in manual from HMI panel  OK ,LP01
7885,2023-09-02 오전 5:52,2023-09-02 오전 5:52,LP01,in manual from HMI panel  OK ,LP01
7886,2023-09-02 오전 5:52,2023-09-02 오전 5:52,LP01,in manual from HMI panel Digital Alarm,LP01
7894,2023-09-02 오전 5:51,2023-09-02 오전 5:45,LP01,LPF in Product Test Mode  OK ,LP01
7895,2023-09-02 오전 5:51,2023-09-02 오전 5:45,LP01,LPF in Product Test Mode  OK ,LP01
7904,2023-09-02 오전 5:50,2023-09-02 오전 5:50,LP01,Zone 01 is stopped. LPF  OK ,LP01
7909,2023-09-02 오전 5:50,2023-09-02 오전 5:49,LP01,System is stopped  OK ,LP01
7910,2023-09-02 오전 5:50,2023-09-02 오전 5:50,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
7927,2023-09-02 오전 5:50,2023-09-02 오전 5:49,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
7928,2023-09-02 오전 5:50,2023-09-02 오전 5:49,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
7945,2023-09-02 오전 5:49,2023-09-02 오전 5:49,LP01,System is stopped Digital Alarm,LP01
7946,2023-09-02 오전 5:49,2023-09-02 오전 5:49,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
8004,2023-09-02 오전 5:45,2023-09-02 오전 5:45,LP01,LPF in Product Test Mode Digital Alarm,LP01
9644,2023-09-02 오전 1:31,2023-09-02 오전 1:29,LP01,Timeout - Deposit position not ready  OK ,LP01
